sample	name
SRR5909831	B73 Leaf 3 Tip
SRR5909829	B73 Leaf 3 Tip
SRR5909830	B73 Leaf 3 Tip
SRR5909833	B73 Leaf 3 Tip
SRR5909836	B73 Leaf 3 Tip
SRR5909832	B73 Leaf 3 Tip
SRR5909834	B73 Leaf 3 Tip
SRR5909835	B73 Leaf 3 Tip
SRR5909989	B73 Leaf 3 Tip
SRR5910066	B73 Adult leaf (day)
SRR5910068	B73 Adult leaf (day)
SRR5910071	B73 Adult leaf (day)
SRR5910067	B73 Adult leaf (day)
SRR5909917	B73 Adult leaf (day)
SRR5910069	B73 Adult leaf (day)
SRR5910103	B73 Adult leaf (night)
SRR5909788	B73 Adult leaf (night)
SRR5910064	B73 Adult leaf (night)
SRR5910065	B73 Adult leaf (night)
SRR5909922	B73 Adult leaf (night)
SRR5910102	B73 Adult leaf (night)
SRR5910104	B73 Adult leaf (night)
SRR5909633	B73 Adult leaf (night)
SRR5909918	B73 Adult leaf (night)
SRR5910070	B73 Adult leaf (night)
SRR5909913	B73 Adult leaf (night)
SRR5909919	B73 Adult leaf (night)
SRR5910072	B73 Adult leaf (night)
SRR5909778	B73 Adult leaf (night)
SRR5910107	B73 Leaf 3 middle
SRR5910106	B73 Leaf 3 middle
SRR5909920	B73-10 Shoot
SRR5909924	B73-10 Shoot
SRR5909926	B73-10 Shoot
SRR5909927	B73-10 Shoot
SRR5909921	B73-10 Shoot
SRR5909925	B73-10 Shoot
SRR5909923	B73-10 Shoot
SRR5910078	B73Htrhm Root
SRR5910077	B73Htrhm Shoot
SRR5909629	B73Htrhm Kernel
SRR5910079	B73Htrhm Leaf 3 Base
SRR5909628	B73Htrhm Leaf 3 Tip
SRR5910076	B73Htrhm Adult leaf (night)
SRR5909916	B75 Root
SRR5909779	B75 Shoot
SRR5909794	B75 Kernel
SRR5909956	B75 Leaf 3 Base
SRR5909796	B75 Leaf 3 Tip
SRR5909818	B75 Adult leaf (night)
SRR5909790	B76 Root
SRR5909793	B76 Shoot
SRR5909791	B76 Leaf 3 Base
SRR5909940	B76 Leaf 3 Tip
SRR5909795	B76 Adult leaf (day)
SRR5909792	B76 Adult leaf (night)
SRR5909651	B77 Root
SRR5909652	B77 Shoot
SRR5909656	B77 Kernel
SRR5909657	B77 Leaf 3 Base
SRR5909650	B77 Leaf 3 Tip
SRR5909653	B77 Adult leaf (day)
SRR5909789	B77 Adult leaf (night)
SRR5909661	B79 Root
SRR5909654	B79 Shoot
SRR5910012	B79 Kernel
SRR5909660	B79 Leaf 3 Base
SRR5910011	B79 Leaf 3 Tip
SRR5909655	B79 Adult leaf (night)
SRR5910008	B84 Root
SRR5910007	B84 Shoot
SRR5910019	B84 Kernel
SRR5910010	B84 Leaf 3 Base
SRR5910009	B84 Leaf 3 Tip
SRR5910014	B84 Adult leaf (day)
SRR5910013	B84 Adult leaf (night)
SRR5911450	B97 Root
SRR5911453	B97 Shoot
SRR5911451	B97 Leaf 3 Base
SRR5911454	B97 Leaf 3 Tip
SRR5911452	B97 Adult leaf (night)
SRR5909857	C103 Root
SRR5909858	C103 Shoot
SRR5909862	C103 Kernel
SRR5909859	C103 Leaf 3 Base
SRR5909860	C103 Leaf 3 Tip
SRR5910020	C103 Adult leaf (night)
SRR5909856	C123 Root
SRR5909863	C123 Shoot
SRR5909747	C123 Kernel
SRR5910112	C123 Leaf 3 Base
SRR5909855	C123 Leaf 3 Tip
SRR5909861	C123 Adult leaf (day)
SRR5909864	C123 Adult leaf (night)
SRR5909751	C49A Root
SRR5909750	C49A Shoot
SRR5909738	C49A Kernel
SRR5909748	C49A Leaf 3 Base
SRR5909749	C49A Leaf 3 Tip
SRR5909744	C49A Adult leaf (day)
SRR5909745	C49A Adult leaf (night)
SRR5909780	CH701-30 Root
SRR5910022	CH701-30 Shoot
SRR5910018	CH701-30 Kernel
SRR5909781	CH701-30 Leaf 3 Base
SRR5910017	CH701-30 Leaf 3 Tip
SRR5910021	CH701-30 Adult leaf (day)
SRR5909739	CH701-30 Adult leaf (night)
SRR5909776	CH9 Root
SRR5910016	CH9 Shoot
SRR5909662	CH9 Kernel
SRR5909777	CH9 Leaf 3 Base
SRR5909663	CH9 Leaf 3 Tip
SRR5910015	CH9 Adult leaf (night)
SRR5909664	CI187-2 Shoot
SRR5909630	CI187-2 Kernel
SRR5909659	CI187-2 Leaf 3 Base
SRR5909658	CI187-2 L3Mid
SRR5909631	CI187-2 Leaf 3 Tip
SRR5909665	CI187-2 Adult leaf (night)
SRR5909756	CI21E Shoot
SRR5909759	CI21E Kernel
SRR5909757	CI21E Leaf 3 Base
SRR5909758	CI21E Leaf 3 Tip
SRR5909626	CI21E Adult leaf (day)
SRR5909627	CI21E Adult leaf (night)
SRR5909755	CI28A Root
SRR5909754	CI28A Shoot
SRR5909953	CI28A Kernel
SRR5909760	CI28A Leaf 3 Base
SRR5909761	CI28A Leaf 3 Tip
SRR5909752	CI28A Adult leaf (day)
SRR5909753	CI28A Adult leaf (night)
SRR5909872	CI31A Root
SRR5909941	CI31A Shoot
SRR5909876	CI31A Kernel
SRR5909955	CI31A Kernel
SRR5909870	CI31A Leaf 3 Base
SRR5909871	CI31A Leaf 3 Tip
SRR5909952	CI31A Adult leaf (day)
SRR5909911	CI31A Adult leaf (night)
SRR5910083	CI3A Root
SRR5910082	CI3A Shoot
SRR5910086	CI3A Kernel
